csv_line,source_LABEL,source_TEXT,source_URL,source_EMAIL,source_PHONE,message,clean_text,label,removal_reason
3450,smishing,	Please call Amanda with regard to renewing or upgrading your current T-Mobile handset free of charge. Offer ends today. Tel 0845 021 3680 subject to T's and C's,No,No,No,Please call Amanda with regard to renewing or upgrading your current T-Mobile handset free of charge. Offer ends today. Tel 0845 021 3680 subject to T's and C's,please call amanda with regard to renewing or upgrading your current t mobile handset free of charge offer ends today tel phonetoken subject to t's and c's,smishing,same_message_conflicting_labels
3454,smishing,"	SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",Yes,No,No,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",sms ac blind date 4u rodds1 is 21 m from aberdeen united kingdom check him out urltoken sms ac w icmb3cktz8r7 4 no blind dates send hide,smishing,same_message_conflicting_labels
3455,smishing,"	Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180",No,No,Yes,"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180",thanks for your ringtone order reference number x29 your mobile will be charged 4 50 should your tone not arrive please call customer services phonetoken,smishing,same_message_conflicting_labels
3456,smishing,	The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270,No,No,Yes,The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270,the current leading bid is 151 to pause this auction send out customer care phonetoken,smishing,same_message_conflicting_labels
3470,smishing,	Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery,No,No,Yes,Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery,want a new video phone 750 anytime any network mins half price line rental free text for 3 months reply or call phonetoken for free delivery,smishing,same_message_conflicting_labels
3478,smishing,	You are being ripped off! Get your mobile content from www.clubmoby.com call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3,No,No,Yes,You are being ripped off! Get your mobile content from www.clubmoby.com call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3,you are being ripped off get your mobile content from urltoken call phonetoken poly true pix ringtones games six downloads for only 3,smishing,same_message_conflicting_labels
3511,smishing,**free message**thanks for employ the auction subscription service. 18 . 150p/msgrcvd 2 skip an auction txt out. 2 unsubscribe txt stop customercare 08718726270,No,No,Yes,**free message**thanks for employ the auction subscription service. 18 . 150p/msgrcvd 2 skip an auction txt out. 2 unsubscribe txt stop customercare 08718726270,free message thanks for employ the auction subscription service 18 150p msgrcvd 2 skip an auction txt out 2 unsubscribe txt stop customercare phonetoken,smishing,same_message_conflicting_labels
3512,smishing,**free message**thanks for employ the auction subscription service. 18 . 150p/msgrcvd 2 skip an auction txt out. 2 unsubscribe txt stop customercare 08718726270,No,No,Yes,**free message**thanks for employ the auction subscription service. 18 . 150p/msgrcvd 2 skip an auction txt out. 2 unsubscribe txt stop customercare 08718726270,free message thanks for employ the auction subscription service 18 150p msgrcvd 2 skip an auction txt out 2 unsubscribe txt stop customercare phonetoken,smishing,same_message_conflicting_labels
3513,smishing,**free message**thanks for employ the auction subscription service. 18 . 150p/msgrcvd 2 skip an auction txt out. 2 unsubscribe txt stop customercare 08718726270,No,No,Yes,**free message**thanks for employ the auction subscription service. 18 . 150p/msgrcvd 2 skip an auction txt out. 2 unsubscribe txt stop customercare 08718726270,free message thanks for employ the auction subscription service 18 150p msgrcvd 2 skip an auction txt out 2 unsubscribe txt stop customercare phonetoken,smishing,same_message_conflicting_labels
3514,smishing,**free message**thanks for habituate the auction subscription service. 18 . 150p/msgrcvd 2 skip an auction txt out. 2 unsubscribe txt stop customercare 08718726270,No,No,Yes,**free message**thanks for habituate the auction subscription service. 18 . 150p/msgrcvd 2 skip an auction txt out. 2 unsubscribe txt stop customercare 08718726270,free message thanks for habituate the auction subscription service 18 150p msgrcvd 2 skip an auction txt out 2 unsubscribe txt stop customercare phonetoken,smishing,same_message_conflicting_labels
3515,smishing,**FREE MESSAGE**Thanks for using the Auction Subscription Service. 18 . 150p/MSGRCVD 2 Skip an Auction txt OUT. 2 Unsubscribe txt STOP CustomerCare 08718726270,No,No,Yes,**FREE MESSAGE**Thanks for using the Auction Subscription Service. 18 . 150p/MSGRCVD 2 Skip an Auction txt OUT. 2 Unsubscribe txt STOP CustomerCare 08718726270,free message thanks for using the auction subscription service 18 150p msgrcvd 2 skip an auction txt out 2 unsubscribe txt stop customercare phonetoken,smishing,same_message_conflicting_labels
3798,smishing,"bears pic nick, and tom, pete and ... dick. in fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324",No,No,Yes,"bears pic nick, and tom, pete and ... dick. in fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324",bears pic nick and tom pete and dick in fact all types try gay chat with photo upload call phonetoken 10p min 2 stop texts call phonetoken,smishing,same_message_conflicting_labels
3799,smishing,"bears pic nick, and tom, pete and ... dick. in fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324",No,No,Yes,"bears pic nick, and tom, pete and ... dick. in fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324",bears pic nick and tom pete and dick in fact all types try gay chat with photo upload call phonetoken 10p min 2 stop texts call phonetoken,smishing,same_message_conflicting_labels
3800,smishing,"bears pic nick, and tom, pete and ... dick. in fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324",No,No,Yes,"bears pic nick, and tom, pete and ... dick. in fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324",bears pic nick and tom pete and dick in fact all types try gay chat with photo upload call phonetoken 10p min 2 stop texts call phonetoken,smishing,same_message_conflicting_labels
3801,smishing,"bears pic nick, and tom, pete and ... dick. in fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324",No,No,Yes,"bears pic nick, and tom, pete and ... dick. in fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324",bears pic nick and tom pete and dick in fact all types try gay chat with photo upload call phonetoken 10p min 2 stop texts call phonetoken,smishing,same_message_conflicting_labels
3802,smishing,"bears pic nick, and tom, pete and ... dick. in fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324",No,No,Yes,"bears pic nick, and tom, pete and ... dick. in fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324",bears pic nick and tom pete and dick in fact all types try gay chat with photo upload call phonetoken 10p min 2 stop texts call phonetoken,smishing,same_message_conflicting_labels
3821,smishing,call freephone 0800 542 0578 now!,No,No,No,call freephone 0800 542 0578 now!,call freephone phonetoken now,smishing,same_message_conflicting_labels
3822,smishing,call freephone 0800 542 0578 now!,No,No,No,call freephone 0800 542 0578 now!,call freephone phonetoken now,smishing,same_message_conflicting_labels
3823,smishing,call freephone 0800 542 0578 now!,No,No,No,call freephone 0800 542 0578 now!,call freephone phonetoken now,smishing,same_message_conflicting_labels
3824,smishing,call freephone 0800 542 0578 now!,No,No,No,call freephone 0800 542 0578 now!,call freephone phonetoken now,smishing,same_message_conflicting_labels
3825,smishing,call freephone 0800 542 0578 now!,No,No,No,call freephone 0800 542 0578 now!,call freephone phonetoken now,smishing,same_message_conflicting_labels
3826,smishing,call freephone 0800 542 0578 now!,No,No,No,call freephone 0800 542 0578 now!,call freephone phonetoken now,smishing,same_message_conflicting_labels
3827,smishing,call freephone 0800 542 0578 now!,No,No,No,call freephone 0800 542 0578 now!,call freephone phonetoken now,smishing,same_message_conflicting_labels
3828,smishing,call freephone 0800 542 0578 now!,No,No,No,call freephone 0800 542 0578 now!,call freephone phonetoken now,smishing,same_message_conflicting_labels
4427,smishing,dont forget you can place as many free requests with 1stchoice.co.uk as you wish. for more information call 08707808226.,No,No,Yes,dont forget you can place as many free requests with 1stchoice.co.uk as you wish. for more information call 08707808226.,dont forget you can place as many free requests with urltoken as you wish for more information call phonetoken,smishing,same_message_conflicting_labels
4428,smishing,dont forget you can place as many free requests with 1stchoice.co.uk as you wish. for more information call 08707808226.,No,No,Yes,dont forget you can place as many free requests with 1stchoice.co.uk as you wish. for more information call 08707808226.,dont forget you can place as many free requests with urltoken as you wish for more information call phonetoken,smishing,same_message_conflicting_labels
4429,smishing,dont forget you can place as many free requests with 1stchoice.co.uk as you wish. for more information call 08707808226.,No,No,Yes,dont forget you can place as many free requests with 1stchoice.co.uk as you wish. for more information call 08707808226.,dont forget you can place as many free requests with urltoken as you wish for more information call phonetoken,smishing,same_message_conflicting_labels
4430,smishing,dont forget you can place as many free requests with 1stchoice.co.uk as you wish. for more information call 08707808226.,No,No,Yes,dont forget you can place as many free requests with 1stchoice.co.uk as you wish. for more information call 08707808226.,dont forget you can place as many free requests with urltoken as you wish for more information call phonetoken,smishing,same_message_conflicting_labels
4431,smishing,dont forget you can place as many free requests with 1stchoice.co.uk as you wish. for more information call 08707808226.,No,No,Yes,dont forget you can place as many free requests with 1stchoice.co.uk as you wish. for more information call 08707808226.,dont forget you can place as many free requests with urltoken as you wish for more information call phonetoken,smishing,same_message_conflicting_labels
4432,smishing,dont forget you can place as many free requests with 1stchoice.co.uk as you wish. for more information call 08707808226.,No,No,Yes,dont forget you can place as many free requests with 1stchoice.co.uk as you wish. for more information call 08707808226.,dont forget you can place as many free requests with urltoken as you wish for more information call phonetoken,smishing,same_message_conflicting_labels
4433,smishing,dont forget you can place as many free requests with 1stchoice.co.uk as you wish. for more information call 08707808226.,No,No,Yes,dont forget you can place as many free requests with 1stchoice.co.uk as you wish. for more information call 08707808226.,dont forget you can place as many free requests with urltoken as you wish for more information call phonetoken,smishing,same_message_conflicting_labels
4434,smishing,dont forget you can place as many free requests with 1stchoice.co.uk as you wish. for more information call 08707808226.,No,No,Yes,dont forget you can place as many free requests with 1stchoice.co.uk as you wish. for more information call 08707808226.,dont forget you can place as many free requests with urltoken as you wish for more information call phonetoken,smishing,same_message_conflicting_labels
4435,smishing,dont forget you can place as many free requests with 1stchoice.co.uk as you wish. for more information call 08707808226.,No,No,Yes,dont forget you can place as many free requests with 1stchoice.co.uk as you wish. for more information call 08707808226.,dont forget you can place as many free requests with urltoken as you wish for more information call phonetoken,smishing,same_message_conflicting_labels
4436,smishing,dont forget you can place as many free requests with 1stchoice.co.uk as you wish. for more information call 08707808226.,No,No,Yes,dont forget you can place as many free requests with 1stchoice.co.uk as you wish. for more information call 08707808226.,dont forget you can place as many free requests with urltoken as you wish for more information call phonetoken,smishing,same_message_conflicting_labels
4437,smishing,dont forget you can range as many free requests with 1stchoice.co.uk as you wish. for more information call 08707808226.,No,No,Yes,dont forget you can range as many free requests with 1stchoice.co.uk as you wish. for more information call 08707808226.,dont forget you can range as many free requests with urltoken as you wish for more information call phonetoken,smishing,same_message_conflicting_labels
4438,smishing,dont forget you can range as many free requests with 1stchoice.co.uk as you wish. for more information call 08707808226.,No,No,Yes,dont forget you can range as many free requests with 1stchoice.co.uk as you wish. for more information call 08707808226.,dont forget you can range as many free requests with urltoken as you wish for more information call phonetoken,smishing,same_message_conflicting_labels
4440,smishing,dorothy@kiefer.com (bank of granite issues strong-buy) explosive pick for our members *****up over 300% *********** nasdaq symbol cdgt that embody a $5.00 per..,No,Yes,No,dorothy@kiefer.com (bank of granite issues strong-buy) explosive pick for our members *****up over 300% *********** nasdaq symbol cdgt that embody a $5.00 per..,emailtoken bank of granite issues strong buy explosive pick for our members up over 300 nasdaq symbol cdgt that embody a 5 00 per,smishing,same_message_conflicting_labels
4441,smishing,dorothy@kiefer.com (bank of granite issues strong-buy) explosive pick for our members *****up over 300% *********** nasdaq symbol cdgt that embody a $5.00 per..,No,Yes,No,dorothy@kiefer.com (bank of granite issues strong-buy) explosive pick for our members *****up over 300% *********** nasdaq symbol cdgt that embody a $5.00 per..,emailtoken bank of granite issues strong buy explosive pick for our members up over 300 nasdaq symbol cdgt that embody a 5 00 per,smishing,same_message_conflicting_labels
4442,smishing,dorothy@kiefer.com (bank of granite issues strong-buy) explosive pick for our members *****up over 300% *********** nasdaq symbol cdgt that embody a $5.00 per..,No,Yes,No,dorothy@kiefer.com (bank of granite issues strong-buy) explosive pick for our members *****up over 300% *********** nasdaq symbol cdgt that embody a $5.00 per..,emailtoken bank of granite issues strong buy explosive pick for our members up over 300 nasdaq symbol cdgt that embody a 5 00 per,smishing,same_message_conflicting_labels
4445,smishing,dorothy@kiefer.com (bank of granite issues strong-buy) explosive pick for our members *****up over 300% *********** nasdaq symbol cdgt that is a $5.00 per..,No,Yes,No,dorothy@kiefer.com (bank of granite issues strong-buy) explosive pick for our members *****up over 300% *********** nasdaq symbol cdgt that is a $5.00 per..,emailtoken bank of granite issues strong buy explosive pick for our members up over 300 nasdaq symbol cdgt that is a 5 00 per,smishing,same_message_conflicting_labels
4446,smishing,dorothy@kiefer.com (bank of granite issues strong-buy) explosive pick for our members *****up over 300% *********** nasdaq symbol cdgt that is a $5.00 per..,No,Yes,No,dorothy@kiefer.com (bank of granite issues strong-buy) explosive pick for our members *****up over 300% *********** nasdaq symbol cdgt that is a $5.00 per..,emailtoken bank of granite issues strong buy explosive pick for our members up over 300 nasdaq symbol cdgt that is a 5 00 per,smishing,same_message_conflicting_labels
4518,smishing,free 1st week entry 2 textpod 4 a chance 2 win 40gb ipod or £250 cash every wk. txt vpod to 81303 ts&cs www.textpod.net custcare 08712405020.,No,No,Yes,free 1st week entry 2 textpod 4 a chance 2 win 40gb ipod or £250 cash every wk. txt vpod to 81303 ts&cs www.textpod.net custcare 08712405020.,free 1st week entry 2 textpod 4 a chance 2 win 40gb ipod or 250 cash every wk txt vpod to 81303 ts cs urltoken custcare phonetoken,smishing,same_message_conflicting_labels
4519,smishing,free 1st week entry 2 textpod 4 a chance 2 win 40gb ipod or £250 cash every wk. txt vpod to 81303 ts&cs www.textpod.net custcare 08712405020.,No,No,Yes,free 1st week entry 2 textpod 4 a chance 2 win 40gb ipod or £250 cash every wk. txt vpod to 81303 ts&cs www.textpod.net custcare 08712405020.,free 1st week entry 2 textpod 4 a chance 2 win 40gb ipod or 250 cash every wk txt vpod to 81303 ts cs urltoken custcare phonetoken,smishing,same_message_conflicting_labels
4520,smishing,free 1st week entry 2 textpod 4 a chance 2 win 40gb ipod or £250 cash every wk. txt vpod to 81303 ts&cs www.textpod.net custcare 08712405020.,No,No,Yes,free 1st week entry 2 textpod 4 a chance 2 win 40gb ipod or £250 cash every wk. txt vpod to 81303 ts&cs www.textpod.net custcare 08712405020.,free 1st week entry 2 textpod 4 a chance 2 win 40gb ipod or 250 cash every wk txt vpod to 81303 ts cs urltoken custcare phonetoken,smishing,same_message_conflicting_labels
4521,smishing,free 1st week entry 2 textpod 4 a chance 2 win 40gb ipod or £250 cash every wk. txt vpod to 81303 ts&cs www.textpod.net custcare 08712405020.,No,No,Yes,free 1st week entry 2 textpod 4 a chance 2 win 40gb ipod or £250 cash every wk. txt vpod to 81303 ts&cs www.textpod.net custcare 08712405020.,free 1st week entry 2 textpod 4 a chance 2 win 40gb ipod or 250 cash every wk txt vpod to 81303 ts cs urltoken custcare phonetoken,smishing,same_message_conflicting_labels
4531,smishing,free entry into our £250 weekly comp just place the word enter to 84128 now. 18 t&c www.textcomp.com cust care 08712405020.,No,No,Yes,free entry into our £250 weekly comp just place the word enter to 84128 now. 18 t&c www.textcomp.com cust care 08712405020.,free entry into our 250 weekly comp just place the word enter to 84128 now 18 t c urltoken cust care phonetoken,smishing,same_message_conflicting_labels
4532,smishing,free entry into our £250 weekly comp just place the word enter to 84128 now. 18 t&c www.textcomp.com cust care 08712405020.,No,No,Yes,free entry into our £250 weekly comp just place the word enter to 84128 now. 18 t&c www.textcomp.com cust care 08712405020.,free entry into our 250 weekly comp just place the word enter to 84128 now 18 t c urltoken cust care phonetoken,smishing,same_message_conflicting_labels
4533,smishing,free entry into our £250 weekly comp just place the word enter to 84128 now. 18 t&c www.textcomp.com cust care 08712405020.,No,No,Yes,free entry into our £250 weekly comp just place the word enter to 84128 now. 18 t&c www.textcomp.com cust care 08712405020.,free entry into our 250 weekly comp just place the word enter to 84128 now 18 t c urltoken cust care phonetoken,smishing,same_message_conflicting_labels
4534,smishing,free entry into our £250 weekly comp just send the word enter to 84128 now. 18 t&c www.textcomp.com cust care 08712405020.,No,No,Yes,free entry into our £250 weekly comp just send the word enter to 84128 now. 18 t&c www.textcomp.com cust care 08712405020.,free entry into our 250 weekly comp just send the word enter to 84128 now 18 t c urltoken cust care phonetoken,smishing,same_message_conflicting_labels
4535,smishing,"free entry to the gr8prizes wkly comp 4 a chance to advance the latest nokia 8800, psp or £250 cash every wk.txt great to 80878 http//www.gr8prizes.com 08715705022",No,No,Yes,"free entry to the gr8prizes wkly comp 4 a chance to advance the latest nokia 8800, psp or £250 cash every wk.txt great to 80878 http//www.gr8prizes.com 08715705022",free entry to the gr8prizes wkly comp 4 a chance to advance the latest nokia 8800 psp or 250 cash every urltoken great to 80878 http urltoken phonetoken,smishing,same_message_conflicting_labels
4536,smishing,"free entry to the gr8prizes wkly comp 4 a chance to advance the latest nokia 8800, psp or £250 cash every wk.txt great to 80878 http//www.gr8prizes.com 08715705022",No,No,Yes,"free entry to the gr8prizes wkly comp 4 a chance to advance the latest nokia 8800, psp or £250 cash every wk.txt great to 80878 http//www.gr8prizes.com 08715705022",free entry to the gr8prizes wkly comp 4 a chance to advance the latest nokia 8800 psp or 250 cash every urltoken great to 80878 http urltoken phonetoken,smishing,same_message_conflicting_labels
4537,smishing,"free entry to the gr8prizes wkly comp 4 a chance to succeed the latest nokia 8800, psp or £250 cash every wk.txt great to 80878 http//www.gr8prizes.com 08715705022",No,No,Yes,"free entry to the gr8prizes wkly comp 4 a chance to succeed the latest nokia 8800, psp or £250 cash every wk.txt great to 80878 http//www.gr8prizes.com 08715705022",free entry to the gr8prizes wkly comp 4 a chance to succeed the latest nokia 8800 psp or 250 cash every urltoken great to 80878 http urltoken phonetoken,smishing,same_message_conflicting_labels
4538,smishing,"free entry to the gr8prizes wkly comp 4 a chance to win the latest nokia 8800, psp or £250 cash every wk.txt great to 80878 http//www.gr8prizes.com 08715705022",No,No,Yes,"free entry to the gr8prizes wkly comp 4 a chance to win the latest nokia 8800, psp or £250 cash every wk.txt great to 80878 http//www.gr8prizes.com 08715705022",free entry to the gr8prizes wkly comp 4 a chance to win the latest nokia 8800 psp or 250 cash every urltoken great to 80878 http urltoken phonetoken,smishing,same_message_conflicting_labels
4539,smishing,"free entry to the gr8prizes wkly comp 4 a chance to win the latest nokia 8800, psp or £250 cash every wk.txt great to 80878 http//www.gr8prizes.com 08715705022",No,No,Yes,"free entry to the gr8prizes wkly comp 4 a chance to win the latest nokia 8800, psp or £250 cash every wk.txt great to 80878 http//www.gr8prizes.com 08715705022",free entry to the gr8prizes wkly comp 4 a chance to win the latest nokia 8800 psp or 250 cash every urltoken great to 80878 http urltoken phonetoken,smishing,same_message_conflicting_labels
4540,smishing,"free entry to the gr8prizes wkly comp 4 a chance to win the latest nokia 8800, psp or £250 cash every wk.txt great to 80878 http//www.gr8prizes.com 08715705022",No,No,Yes,"free entry to the gr8prizes wkly comp 4 a chance to win the latest nokia 8800, psp or £250 cash every wk.txt great to 80878 http//www.gr8prizes.com 08715705022",free entry to the gr8prizes wkly comp 4 a chance to win the latest nokia 8800 psp or 250 cash every urltoken great to 80878 http urltoken phonetoken,smishing,same_message_conflicting_labels
4636,smishing,great news! call freefone 08006344447 to arrogate your guaranteed £1000 cash or £2000 gift. speak to a live operator now!,No,No,Yes,great news! call freefone 08006344447 to arrogate your guaranteed £1000 cash or £2000 gift. speak to a live operator now!,great news call freefone phonetoken to arrogate your guaranteed 1000 cash or 2000 gift speak to a live operator now,smishing,same_message_conflicting_labels
4637,smishing,great news! call freefone 08006344447 to arrogate your guaranteed £1000 cash or £2000 gift. speak to a live operator now!,No,No,Yes,great news! call freefone 08006344447 to arrogate your guaranteed £1000 cash or £2000 gift. speak to a live operator now!,great news call freefone phonetoken to arrogate your guaranteed 1000 cash or 2000 gift speak to a live operator now,smishing,same_message_conflicting_labels
4638,smishing,Great News! Call FREEFONE 08006344447 to claim your guaranteed £1000 CASH or £2000 gift. Speak to a live operator NOW!,No,No,Yes,Great News! Call FREEFONE 08006344447 to claim your guaranteed £1000 CASH or £2000 gift. Speak to a live operator NOW!,great news call freefone phonetoken to claim your guaranteed 1000 cash or 2000 gift speak to a live operator now,smishing,same_message_conflicting_labels
4639,smishing,great news! call freefone 08006344447 to claim your guaranteed £1000 cash or £2000 gift. speak to a live operator now!,No,No,Yes,great news! call freefone 08006344447 to claim your guaranteed £1000 cash or £2000 gift. speak to a live operator now!,great news call freefone phonetoken to claim your guaranteed 1000 cash or 2000 gift speak to a live operator now,smishing,same_message_conflicting_labels
4640,smishing,great news! call freefone 08006344447 to claim your guaranteed £1000 cash or £2000 gift. speak to a live operator now!,No,No,Yes,great news! call freefone 08006344447 to claim your guaranteed £1000 cash or £2000 gift. speak to a live operator now!,great news call freefone phonetoken to claim your guaranteed 1000 cash or 2000 gift speak to a live operator now,smishing,same_message_conflicting_labels
4718,smishing,http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=true¡C C Ringtone¡,No,No,No,http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=true¡C C Ringtone¡,http tms urltoken wml id 820554ad0a1705572711 first true c c ringtone,smishing,same_message_conflicting_labels
4719,smishing,http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=true¡c c ringtone¡,No,No,No,http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=true¡c c ringtone¡,http tms urltoken wml id 820554ad0a1705572711 first true c c ringtone,smishing,same_message_conflicting_labels
4720,smishing,http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=true¡c c ringtone¡,No,No,No,http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=true¡c c ringtone¡,http tms urltoken wml id 820554ad0a1705572711 first true c c ringtone,smishing,same_message_conflicting_labels
4721,smishing,http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=true¡c c ringtone¡,No,No,No,http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=true¡c c ringtone¡,http tms urltoken wml id 820554ad0a1705572711 first true c c ringtone,smishing,same_message_conflicting_labels
4722,smishing,http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=true¡c c ringtone¡,No,No,No,http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=true¡c c ringtone¡,http tms urltoken wml id 820554ad0a1705572711 first true c c ringtone,smishing,same_message_conflicting_labels
4726,smishing,i'd like to tell you my deepest darkest fantasies. call me 09094646631 just 60p/min. to stop texts call 08712460324 (nat rate),No,No,Yes,i'd like to tell you my deepest darkest fantasies. call me 09094646631 just 60p/min. to stop texts call 08712460324 (nat rate),i'd like to tell you my deepest darkest fantasies call me phonetoken just 60p min to stop texts call phonetoken nat rate,smishing,same_message_conflicting_labels
4727,smishing,i'd like to tell you my deepest darkest fantasies. call me 09094646631 just 60p/min. to stop texts call 08712460324 (nat rate),No,No,Yes,i'd like to tell you my deepest darkest fantasies. call me 09094646631 just 60p/min. to stop texts call 08712460324 (nat rate),i'd like to tell you my deepest darkest fantasies call me phonetoken just 60p min to stop texts call phonetoken nat rate,smishing,same_message_conflicting_labels
4728,smishing,i'd like to tell you my deepest darkest fantasies. call me 09094646631 just 60p/min. to stop texts call 08712460324 (nat rate),No,No,Yes,i'd like to tell you my deepest darkest fantasies. call me 09094646631 just 60p/min. to stop texts call 08712460324 (nat rate),i'd like to tell you my deepest darkest fantasies call me phonetoken just 60p min to stop texts call phonetoken nat rate,smishing,same_message_conflicting_labels
4925,smishing,need a new video phone? 750 anytime any network mins? half price line rental free text for 3 months? reply or call 08000930705 for free delivery,No,No,Yes,need a new video phone? 750 anytime any network mins? half price line rental free text for 3 months? reply or call 08000930705 for free delivery,need a new video phone 750 anytime any network mins half price line rental free text for 3 months reply or call phonetoken for free delivery,smishing,same_message_conflicting_labels
