clean_text,URL,EMAIL,PHONE,url_count,email_count,phone_count,label
a bit of ur smile is my hppnss a drop of ur tear is my sorrow a part of ur heart is my life a heart like mine wil care for u forevr as my goodfriend i love u,0,0,0,0,0,0,ham
a boy loved a gal he propsd bt she didnt mind he gv lv lttrs bt her frnds threw thm again d boy decided 2 aproach d gal dt time a truck was speeding towards d gal wn it was about 2 hit d girl d boy ran like hell n saved her she asked 'hw cn u run so fast ' d boy replied boost is d secret of my energy n instantly d girl shouted our energy n thy lived happily 2gthr drinking boost evrydy moral of d story i hv free msgs d gud ni8,0,0,0,0,0,0,ham
a boy loved a gal he propsd bt she didnt mind he gv lv lttrs bt her frnds threw thm again d boy decided 2 aproach d gal dt time a truck was speeding towards d gal wn it was about 2 hit d girl d boy ran like hell n saved her she asked 'hw cn u run so fast ' d boy replied boost is d secret of my energy n instantly d girl shouted our energy n thy lived happily 2gthr drinking boost evrydy,0,0,0,0,0,0,ham
a boy was late 2 home his father power of frndship,0,0,0,0,0,0,ham
a boy was late 2 home his father welcome,0,0,0,0,0,0,ham
a cute thought for friendship its not necessary to share every secret with ur close frnd but watever u shared should be true,0,0,0,0,0,0,ham
a famous quote when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence it means you are 'married',0,0,0,0,0,0,ham
a few people are at the game i'm at the mall with iouri and kaila,0,0,0,0,0,0,ham
a gram usually runs like a half eighth is smarter though and gets you almost a whole second gram for,0,0,0,0,0,0,ham
a lot of this sickness thing going round take it easy hope u feel better soon lol,0,0,0,0,0,0,ham
a pure hearted person can have a wonderful smile that makes even his her enemies to feel guilty for being an enemy so catch the world with your smile goodmorning have a smiley sunday,0,0,0,0,0,0,ham
and don t worry we ll have finished by march ish,0,0,0,0,0,0,ham
we r stayin here an extra week back next wed how did we do in the rugby this weekend hi to and and c u soon,0,0,0,0,0,0,ham
aah bless how's your arm,0,0,0,0,0,0,ham
aah a cuddle would be lush i'd need lots of tea and soup before any kind of fumbling,0,0,0,0,0,0,ham
aaooooright are you at work,0,0,0,0,0,0,ham
aathi where are you dear i am waiting for u,0,0,0,0,0,0,ham
about bucks the banks fees are fixed better to call the bank and find out,0,0,0,0,0,0,ham
actually getting ready to leave the house,0,0,0,0,0,0,ham
actually i deleted my old website now i m blogging at urltoken,1,1,0,1,1,0,ham
actually i'm waiting for 2 weeks when they start putting ad,0,0,0,0,0,0,ham
actually my mobile is full of msg and i m doing a work online where i need to send them sent msg i wil explain u later,0,0,0,0,0,0,ham
aft i finish my lunch then i go str down lor ard 3 smth lor u finish ur lunch already,0,0,0,0,0,0,ham
after my work ah den 6 plus lor u workin oso rite den go orchard lor no other place to go liao,0,0,0,0,0,0,ham
after the drug she will be able to eat,0,0,0,0,0,0,ham
ah poop looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem,0,0,0,0,0,0,ham
ah well that confuses things doesnt it i thought was friends with now maybe i did the wrong thing but i already sort of invited tho he may not come cos of money,0,0,0,0,0,0,ham
ahhh work i vaguely remember that what does it feel like lol,0,0,0,0,0,0,ham
ahhhh just woken up had a bad dream about u tho so i dont like u right now i didnt know anything about comedy night but i guess im up for it,0,0,0,0,0,0,ham
aight ill get on fb in a couple minutes,0,0,0,0,0,0,ham
aight i'll grab something to eat too text me when you're back at mu,0,0,0,0,0,0,ham
aight no rush i'll ask jay,0,0,0,0,0,0,ham
aight sorry i take ten years to shower what's the plan,0,0,0,0,0,0,ham
aight we can pick some up you open before tonight,0,0,0,0,0,0,ham
aight will do thanks again for comin out,0,0,0,0,0,0,ham
aight yo dats straight dogg,0,0,0,0,0,0,ham
aight can you text me the address,0,0,0,0,0,0,ham
aight i'll ask a few of my roommates,0,0,0,0,0,0,ham
aight i'm chillin in a friend's room so text me when you're on the way,0,0,0,0,0,0,ham
aight lemme know what's up,0,0,0,0,0,0,ham
aight let me know when you're gonna be around usf,0,0,0,0,0,0,ham
aight see you in a bit,0,0,0,0,0,0,ham
aight sounds good when do you want me to come down,0,0,0,0,0,0,ham
aight text me tonight and we'll see what's up,0,0,0,0,0,0,ham
aight tomorrow around it is,0,0,0,0,0,0,ham
aight we'll head out in a few,0,0,0,0,0,0,ham
aight you close by or still down around alex's place,0,0,0,0,0,0,ham
aiyah e rain like quite big leh if drizzling i can at least run home,0,0,0,0,0,0,ham
aiyah ok wat as long as got improve can already wat,0,0,0,0,0,0,ham
aiyah sorry lor i watch tv watch until i forgot 2 check my phone,0,0,0,0,0,0,ham
aiyar dun disturb u liao thk u have lots 2 do aft ur cupboard come,0,0,0,0,0,0,ham
aiyar hard 2 type u later free then tell me then i call n scold n tell u,0,0,0,0,0,0,ham
aiyar sorry lor forgot 2 tell u,0,0,0,0,0,0,ham
aiyar u so poor thing i give u my support k jia you i'll think of u,0,0,0,0,0,0,ham
aiyo cos i sms then neva reply so i wait 4 to reply lar i tot havent finish ur lab wat,0,0,0,0,0,0,ham
aiyo please got time meh,0,0,0,0,0,0,ham
aiyo u so poor thing then u dun wan 2 eat u bathe already,0,0,0,0,0,0,ham
aiyo her lesson so early i'm still sleepin haha okie u go home liao den confirm w me lor,0,0,0,0,0,0,ham
al he does is moan at me if n e thin goes wrong its my fault al de arguments r my fault fed up of him of himso y bother hav 2go urltoken,1,0,0,1,0,0,ham
aldrine rakhesh ex rtm urltoken urltoken,1,0,0,2,0,0,ham
alex knows a guy who sells mids but he's down in south tampa and i don't think i could set it up before like 8,0,0,0,0,0,0,ham
alex says he's not ok with you not being ok with it,0,0,0,0,0,0,ham
all boys made fun of me today ok i have no problem i just sent one message just for fun,0,0,0,0,0,0,ham
all done all handed in don't know if mega shop in asda counts as celebration but thats what i'm doing,0,0,0,0,0,0,ham
all done all handed in celebrations in full swing yet,0,0,0,0,0,0,ham
all e best 4 ur exam later,0,0,0,0,0,0,ham
all these nice new shirts and the only thing i can wear them to is nudist themed you in mu,0,0,0,0,0,0,ham
allo we have braved the buses and taken on the trains and triumphed i mean we re in b ham have a jolly good rest of week,0,0,0,0,0,0,ham
already am squatting is the new way of walking,0,0,0,0,0,0,ham
already one guy loving you,0,0,0,0,0,0,ham
alright babe justthought i d sayhey how u doin nearly the endof me wk offdam nevamind we will have 2hook up sn if uwant m8 lovejen x,0,0,0,0,0,0,ham
alright if you're sure let me know when you're leaving,0,0,0,0,0,0,ham
alright omw gotta change my order to a half8th,0,0,0,0,0,0,ham
alright took the morphine back in yo,0,0,0,0,0,0,ham
alright we'll bring it to you see you in like mins,0,0,0,0,0,0,ham
alright i'm out have a good night,0,0,0,0,0,0,ham
alrite jod hows the revision goin keris bin doin a smidgin n e way u wanna cum over after college xx,0,0,0,0,0,0,ham
alrite sam its nic just checkin that this is ur number so is it t b,0,0,0,0,0,0,ham
also hi wesley how've you been,0,0,0,0,0,0,ham
also north carolina and texas atm you would just go to the gre site and pay for the test results to be sent,0,0,0,0,0,0,ham
also remember to get dobby's bowl from your car,0,0,0,0,0,0,ham
also sir i sent you an email about how to log into the usc payment portal urltoken send you another message that should explain how things are back home have a great weekend,1,0,0,1,0,0,ham
also you and your family for going to rhode island or wherever and leaving me all alone the week i have a new bong,0,0,0,0,0,0,ham
am going to take bath ill place the key in window,0,0,0,0,0,0,ham
am i that much bad to avoid like this,0,0,0,0,0,0,ham
am i that much dirty fellow,0,0,0,0,0,0,ham
am i the only one who doesn't stalk profiles,0,0,0,0,0,0,ham
am in gobi arts college,0,0,0,0,0,0,ham
am not interested to do like that,0,0,0,0,0,0,ham
am on my way,0,0,0,0,0,0,ham
am on the uworld site am i buying the qbank only or am i buying it with the self assessment also,0,0,0,0,0,0,ham
am only searching for good dual sim mobile pa,0,0,0,0,0,0,ham
am slow in using biola's fne,0,0,0,0,0,0,ham
am surfing online store for offers do you want to buy any thing,0,0,0,0,0,0,ham
ambrith madurai met u in arun dha marrge remembr,0,0,0,0,0,0,ham
and also i've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed,0,0,0,0,0,0,ham
and by when you're done i mean now,0,0,0,0,0,0,ham
and do you have any one that can teach me how to ship cars,0,0,0,0,0,0,ham
and how you will do that princess,0,0,0,0,0,0,ham
and how's your husband,0,0,0,0,0,0,ham
and i don't plan on staying the night but i prolly won't be back til late,0,0,0,0,0,0,ham
and miss vday the parachute and double coins u must not know me very well,0,0,0,0,0,0,ham
and of course you should make a stink,0,0,0,0,0,0,ham
and pls pls drink plenty plenty water,0,0,0,0,0,0,ham
and several to you sir,0,0,0,0,0,0,ham
and smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you grins,0,0,0,0,0,0,ham
and that is the problem you walk around in julianaland oblivious to what is going on around you i say the same things constantly and they go in one ear and out the other while you go off doing whatever you want to do it's not that you don't know why i'm upset it's that you don't listen when i tell you what is going to upset me then you want to be surprised when i'm mad,0,0,0,0,0,0,ham
and that's fine i got enough bud to last most of the night at least,0,0,0,0,0,0,ham
and very importantly all we discuss is between u and i only,0,0,0,0,0,0,ham
and you will expect you whenever you text hope all goes well tomo,0,0,0,0,0,0,ham
another month i need chocolate weed and alcohol,0,0,0,0,0,0,ham
any pain on urination any thing else,0,0,0,0,0,0,ham
anything lar then not going home 4 dinner,0,0,0,0,0,0,ham
anything lar,0,0,0,0,0,0,ham
anything lor but toa payoh got place 2 walk meh,0,0,0,0,0,0,ham
anything lor if they all go then i go lor,0,0,0,0,0,0,ham
anything lor is she coming,0,0,0,0,0,0,ham
anything lor juz both of us lor,0,0,0,0,0,0,ham
anything lor u decide,0,0,0,0,0,0,ham
anything,0,0,0,0,0,0,ham
anytime,0,0,0,0,0,0,ham
anyway holla at me whenever you're around because i need an excuse to go creep on people in sarasota,0,0,0,0,0,0,ham
anyway i don't think i can secure anything up here lemme know if you want me to drive down south and chill,0,0,0,0,0,0,ham
all write or wat,0,0,0,0,0,0,ham
bot notes oredi cos i juz rem i got,0,0,0,0,0,0,ham
comin to fetch us oredi,0,0,0,0,0,0,ham
dun need to pick ur gf,0,0,0,0,0,0,ham
dun wan to watch infernal affair,0,0,0,0,0,0,ham
give me some time to walk there,0,0,0,0,0,0,ham
go home liao ask dad to pick me up at 6,0,0,0,0,0,0,ham
got wat to buy tell us then no need to come in again,0,0,0,0,0,0,ham
log off 4 wat it's sdryb8i,0,0,0,0,0,0,ham
no home work to do meh,0,0,0,0,0,0,ham
only send me the contents page,0,0,0,0,0,0,ham
ready then call me,0,0,0,0,0,0,ham
say until like dat i dun buy ericsson oso cannot oredi lar,0,0,0,0,0,0,ham
still attending da talks,0,0,0,0,0,0,ham
takin linear algebra today,0,0,0,0,0,0,ham
v ma fan,0,0,0,0,0,0,ham
wait 4 me in sch i finish ard 5,0,0,0,0,0,0,ham
apart from the one i told you about yesterday,0,0,0,0,0,0,ham
apo all other are mokka players only,0,0,0,0,0,0,ham
ard 4 lor,0,0,0,0,0,0,ham
ard 515 like dat y,0,0,0,0,0,0,ham
ard 530 like dat lor we juz meet in mrt station then dun haf to come out,0,0,0,0,0,0,ham
ard 530 lor i ok then message lor,0,0,0,0,0,0,ham
are u awake is there snow there,0,0,0,0,0,0,ham
are we doing the norm tomorrow i finish just a 4 15 cos of st tests need to sort library stuff out at some point tomo got letter from today access til end march so i better get move on,0,0,0,0,0,0,ham
are you angry with me what happen dear,0,0,0,0,0,0,ham
are you available for soiree on june 3rd,0,0,0,0,0,0,ham
are you being good baby,0,0,0,0,0,0,ham
are you driving or training,0,0,0,0,0,0,ham
are you free now can i call now,0,0,0,0,0,0,ham
are you going to write ccna exam this week,0,0,0,0,0,0,ham
are you in castor you need to see something,0,0,0,0,0,0,ham
are you not around or just still asleep v,0,0,0,0,0,0,ham
are you staying in town,0,0,0,0,0,0,ham
are you still getting the goods,0,0,0,0,0,0,ham
are you still playing with gautham,0,0,0,0,0,0,ham
are you the cutest girl in the world or what,0,0,0,0,0,0,ham
are you there in room,0,0,0,0,0,0,ham
are you this much buzy as you show,0,0,0,0,0,0,ham
are you this much buzy i don t think so,0,0,0,0,0,0,ham
are you willing to go for apps class,0,0,0,0,0,0,ham
are you willing to go for aptitude class,0,0,0,0,0,0,ham
argh my 3g is spotty anyway the only thing i remember from the research we did was that province and sterling were the only problem free places we looked at,0,0,0,0,0,0,ham
argh why there is nobody in town,0,0,0,0,0,0,ham
armand says get your ass over to epsilon,0,0,0,0,0,0,ham
arr birthday today i wish him to get more oscar,0,0,0,0,0,0,ham
as i entered my cabin my pa said '' happy b'day boss '' i felt special she askd me 4 lunch,0,0,0,0,0,0,ham
as in different styles,0,0,0,0,0,0,ham
as in missionary hook up doggy hook up standing,0,0,0,0,0,0,ham
as per your request 'maangalyam alaipayuthe ' has been set as your callertune for all callers press 9 to copy your friends callertune,0,0,0,0,0,0,ham
as per your request 'melle melle oru minnaminunginte nurungu vettam ' has been set as your callertune for all callers press 9 to copy your friends callertune,0,0,0,0,0,0,ham
as usual iam fine happy doing well how r u,0,0,0,0,0,0,ham
as usual iam fine happy doing well howz u,0,0,0,0,0,0,ham
as usual iam fine happy doing well what about u,0,0,0,0,0,0,ham
at 4 let's go to bill millers,0,0,0,0,0,0,ham
at bruce b downs fletcher now,0,0,0,0,0,0,ham
at customer place i will call you later,0,0,0,0,0,0,ham
at home also,0,0,0,0,0,0,ham
at the funeral home with audrey and dad,0,0,0,0,0,0,ham
at what time are you coming,0,0,0,0,0,0,ham
at what time should i come tomorrow please confirm,0,0,0,0,0,0,ham
audrie lousy autocorrect,0,0,0,0,0,0,ham
awesome be there in a minute,0,0,0,0,0,0,ham
awesome how do i deal with the gate charles told me last night but uh yeah,0,0,0,0,0,0,ham
awesome i remember the last time we got somebody high for the first time with diesel v,0,0,0,0,0,0,ham
awesome i'll see you in a bit,0,0,0,0,0,0,ham
awesome lemme know whenever you're around,0,0,0,0,0,0,ham
awesome text me when you're restocked,0,0,0,0,0,0,ham
awesome that gonna be soon or later tonight,0,0,0,0,0,0,ham
awesome think we can get an 8th at usf some time tonight,0,0,0,0,0,0,ham
aww that's the first time u said u missed me without asking if i missed u first you do love me,0,0,0,0,0,0,ham
aww you must be nearly dead well jez iscoming over todo some workand that whilltake forever,0,0,0,0,0,0,ham
ay wana meet on sat wkg on sat,0,0,0,0,0,0,ham
baaaaaaaabe wake up i miss you i crave you i need you,0,0,0,0,0,0,ham
babe how goes that day what are you doing where are you i sip my cappuccino and think of you my love i send a kiss to you from across the sea,0,0,0,0,0,0,ham
babe i miiiiiiissssssssss you i need you i crave you geeee i'm so sad without you babe i love you,0,0,0,0,0,0,ham
babe i lost you,0,0,0,0,0,0,ham
babe you said 2 hours and it's been almost 4 is your internet down,0,0,0,0,0,0,ham
babes i think i got ur brolly i left it in english wil bring it in 2mrw 4 u luv franxx,0,0,0,0,0,0,ham
badrith is only for chennai i will surely pick for us no competition for him,0,0,0,0,0,0,ham
ball is moving a urltoken spin in last so very difficult to bat,1,0,0,1,0,0,ham
be happy there i will come after noon,0,0,0,0,0,0,ham
be sure to check your yahoo email we sent photos yesterday,0,0,0,0,0,0,ham
beautiful tomorrow never comes when it comes it's already today in the hunt of beautiful tomorrow don't waste your wonderful today goodmorning,0,0,0,0,0,0,ham
beautiful truth expression of the face could be seen by everyone but the depression of heart could be understood only by the loved ones gud ni8,0,0,0,0,0,0,ham
beautiful truth against gravity read carefully our heart feels light when someone is in it but it feels very heavy when someone leaves it good night,0,0,0,0,0,0,ham
beauty sleep can help ur pimples too,0,0,0,0,0,0,ham
becoz its jan whn al the post ofice is in holiday so she cn go fr the post ofice got it duffer,0,0,0,0,0,0,ham
been running but only managed 5 minutes and then needed oxygen might have to resort to the roller option,0,0,0,0,0,0,ham
beerage,0,0,0,0,0,0,ham
best line said in love i will wait till the day i can forget u or the day u realize that u cannot forget me gn,0,0,0,0,0,0,ham
better than bb if he wont use it his wife will or them doctor,0,0,0,0,0,0,ham
big brother s really scraped the barrel with this shower of social misfits,0,0,0,0,0,0,ham
bill as in are there any letters for me i m expecting one from orange that isn t a bill but may still say orange on it,0,0,0,0,0,0,ham
blank is blank but wat is blank lol,0,0,0,0,0,0,ham
bognor it is should be splendid at this time of year,0,0,0,0,0,0,ham
boo i'm on my way to my moms she's making tortilla soup yummmm,0,0,0,0,0,0,ham
book which lesson then you msg me i will call up after work or sth i'm going to get specs my membership is px3748,0,0,0,0,0,0,ham
both i shoot big loads so get ready,0,0,0,0,0,0,ham
boy you best get yo ass out here quick,0,0,0,0,0,0,ham
boy i love u grl hogolo boy gold chain kodstini grl agalla boy necklace madstini grl agalla boy hogli 1 mutai eerulli kodthini grl i love u kano,0,0,0,0,0,0,ham
busy here trying to finish for new year i am looking forward to finally meeting you,0,0,0,0,0,0,ham
but am going to college pa what to do are else ill come there it self pa,0,0,0,0,0,0,ham
but i juz remembered i gotta bathe my dog today,0,0,0,0,0,0,ham
but i'll b going 2 sch on mon my sis need 2 take smth,0,0,0,0,0,0,ham
but i'm on a diet and i ate 1 too many slices of pizza yesterday ugh i'm always on a diet,0,0,0,0,0,0,ham
but i'm really really broke oh no amount is too small even,0,0,0,0,0,0,ham
but pls dont play in others life,0,0,0,0,0,0,ham
but really quite funny lor wat then u shd haf run shorter distance wat,0,0,0,0,0,0,ham
but that's on ebay it might be less elsewhere,0,0,0,0,0,0,ham
but we havent got da topic yet rite,0,0,0,0,0,0,ham
but you dint in touch with me,0,0,0,0,0,0,ham
but your brother transfered only pa,0,0,0,0,0,0,ham
buy one egg for me da please,0,0,0,0,0,0,ham
buzz hey my love i think of you and hope your day goes well did you sleep in i miss you babe i long for the moment we are together again loving smile,0,0,0,0,0,0,ham
by march ending i should be ready but will call you for sure the problem is that my capital never complete how far with you how's work and the ladies,0,0,0,0,0,0,ham
by the way make sure u get train to worc foregate street not shrub hill have fun night x,0,0,0,0,0,0,ham
cab is urltoken pick up and drop at door steps,1,0,0,1,0,0,ham
call me da i am waiting for your call,0,0,0,0,0,0,ham
call me when u finish then i come n pick u,0,0,0,0,0,0,ham
call me when u're done,0,0,0,0,0,0,ham
call me when you get the chance plz 3,0,0,0,0,0,0,ham
call me when you carlos is are here my phone's vibrate is acting up and i might not hear texts,0,0,0,0,0,0,ham
call me i m unable to cal lets meet bhaskar and deep,0,0,0,0,0,0,ham
call to the number which is available in appointment and ask to connect the call to waheed fathima,0,0,0,0,0,0,ham
can all decide faster cos my sis going home liao,0,0,0,0,0,0,ham
can call me at 10 10 to make sure dat i've woken up,0,0,0,0,0,0,ham
can send me a copy of da report,0,0,0,0,0,0,ham
can come my room but cannot come my house cos my house still messy haha,0,0,0,0,0,0,ham
can do lor,0,0,0,0,0,0,ham
can i get your opinion on something first,0,0,0,0,0,0,ham
can i meet at 5 as 4 where depends on where wan 2 in lor,0,0,0,0,0,0,ham
can meh thgt some will clash really ah i dun mind i dun seen to have lost any weight gee,0,0,0,0,0,0,ham
can not use foreign stamps in this country,0,0,0,0,0,0,ham
can not use foreign stamps in this country good lecture,0,0,0,0,0,0,ham
can u get pic msgs to your phone,0,0,0,0,0,0,ham
can you call me plz your number shows out of coveragd area i have urgnt call in vasai have to reach before 4'o clock so call me plz,0,0,0,0,0,0,ham
can you do a mag meeting this avo at some point,0,0,0,0,0,0,ham
can you please ask macho what his price range is does he want something new or used plus it he only interfued in the blackberry bold or any bb,0,0,0,0,0,0,ham
can you pls pls send me a mail on all you know about relatives coming to deliver here all you know about costs risks benefits and anything else thanks,0,0,0,0,0,0,ham
can you tell shola to please go to college of medicine and visit the academic department tell the academic secretary what the current situation is and ask if she can transfer there she should ask someone to check sagamu for the same thing and lautech its vital she completes her medical education in nigeria its less expensive much less expensive unless she will be getting citizen rates in new zealand,0,0,0,0,0,0,ham
can dunno wat to get 4 her,0,0,0,0,0,0,ham
can i'm free,0,0,0,0,0,0,ham
cant believe i said so many things to you this morning when all i really wanted to say was good morning i love you have a beautiful morning see you in the library later,0,0,0,0,0,0,ham
can't take any major roles in community outreach you rock mel,0,0,0,0,0,0,ham
cant think of anyone with spare room off top of my head,0,0,0,0,0,0,ham
captain is in our room,0,0,0,0,0,0,ham
captain vijaykanth is doing comedy in captain tv he is drunken,0,0,0,0,0,0,ham
carlos is taking his sweet time as usual so let me know when you and patty are done want to smoke and i'll tell him to haul ass,0,0,0,0,0,0,ham
carlos says we can pick up from him later so yeah we're set,0,0,0,0,0,0,ham
carlos took a while again we leave in a minute,0,0,0,0,0,0,ham
carry on not disturbing both of you,0,0,0,0,0,0,ham
cause i'm not freaky lol,0,0,0,0,0,0,ham
change again it's e one next to escalator,0,0,0,0,0,0,ham
check audrey's status right now,0,0,0,0,0,0,ham
check mail i have mailed varma and kept copy to you regarding urltoken urltoken allah,1,0,0,2,0,0,ham
check with nuerologist,0,0,0,0,0,0,ham
cheers for the card is it that time of year already,0,0,0,0,0,0,ham
cheers u tex mecause u werebored yeah okden hunny r uin wk sat sound s likeyour havin gr8fun j keep updat countinlots of loveme xxxxx,0,0,0,0,0,0,ham
chile please it's only a decimal hour drive for me i come down all the time and will be subletting feb april for audition season,0,0,0,0,0,0,ham
chinatown got porridge claypot rice yam cake fishhead beehoon either we eat cheap den go cafe n tok or go nydc or somethin,0,0,0,0,0,0,ham
chk in ur belovd ms dict,0,0,0,0,0,0,ham
christmas is an occasion that is celebrated as a reflection of ur values desires affections traditions have an ideal christmas,0,0,0,0,0,0,ham
cold dont be sad dear,0,0,0,0,0,0,ham
come back to tampa ffffuuuuuuu,0,0,0,0,0,0,ham
come by our room at some point so we can iron out the plan for this weekend,0,0,0,0,0,0,ham
come round it's,0,0,0,0,0,0,ham
come to me slave your doing it again going into your shell and unconsciously avoiding me you are making me unhappy,0,0,0,0,0,0,ham
come to medical college at 7pm forward it da,0,0,0,0,0,0,ham
come to mu we're sorting out our narcotics situation,0,0,0,0,0,0,ham
congrats treat pending i am not on mail for 2 urltoken mail once urltoken mother at urltoken mails,1,1,0,3,1,0,ham
congrats kano whr s the treat maga,0,0,0,0,0,0,ham
convey my regards to him all the best,0,0,0,0,0,0,ham
convey my regards to him best wishes,0,0,0,0,0,0,ham
cool text me when you're parked,0,0,0,0,0,0,ham
cool text me when you're ready,0,0,0,0,0,0,ham
cool want me to go to kappa or should i meet you outside mu,0,0,0,0,0,0,ham
cool we shall go and see have to go to tip anyway are you at home got something to drop in later so lets go to town tonight maybe mum can take us in,0,0,0,0,0,0,ham
cool what time you think you can get here,0,0,0,0,0,0,ham
cool i am inches long hope you like them big,0,0,0,0,0,0,ham
cool so how come you havent been wined and dined before,0,0,0,0,0,0,ham
cool we will have fun practicing making babies,0,0,0,0,0,0,ham
cos darren say considering mah so i ask,0,0,0,0,0,0,ham
cos i want it to be your thing,0,0,0,0,0,0,ham
cps is causing the outages to conserve energy,0,0,0,0,0,0,ham
cramps stopped going back to sleep,0,0,0,0,0,0,ham
cthen i thk shd b enuff still got conclusion n contents pg n references i'll b doing da contents pg n cover pg,0,0,0,0,0,0,ham
customer place i will call you when i wll be free,0,0,0,0,0,0,ham
cuz ibored and don wanna study,0,0,0,0,0,0,ham
da is good good urltoken he is unsold,1,0,0,1,0,0,ham
da my birthdate in certificate is in april but real date is today but dont publish it i shall give you a special treat if you keep the secret any way thanks for the wishes,0,0,0,0,0,0,ham
dad says hurry the hell up,0,0,0,0,0,0,ham
dad wanted to talk about the apartment so i got a late start omw now,0,0,0,0,0,0,ham
dad went out oredi,0,0,0,0,0,0,ham
dai i downloaded but there is only exe file which i can only run that exe after installing,0,0,0,0,0,0,ham
damn can you make it tonight or do you want to just wait til tomorrow,0,0,0,0,0,0,ham
damn poor zac doesn't stand a chance,0,0,0,0,0,0,ham
dear why you mood off i cant drive so i brother to drive,0,0,0,0,0,0,ham
dear are you angry i was busy dear,0,0,0,0,0,0,ham
dear good morning how you feeling dear,0,0,0,0,0,0,ham
dear good morning now only i am up,0,0,0,0,0,0,ham
dear got train and seat mine lower seat,0,0,0,0,0,0,ham
dear hero i am leaving to qatar tonite for an apt urltoken do keep in touch at email kerala,1,0,0,1,0,0,ham
dear how is chechi did you talk to her,0,0,0,0,0,0,ham
dear i have reache room,0,0,0,0,0,0,ham
dear relieved of westonzoyland all going to plan this end too,0,0,0,0,0,0,ham
dear umma she called me now,0,0,0,0,0,0,ham
dear where you call me,0,0,0,0,0,0,ham
dear i am waiting for your call i will be busy later on,0,0,0,0,0,0,ham
dear take care i am just reaching urltoken u a lot,1,0,0,1,0,0,ham
dear will call urltoken accomodate,1,0,0,1,0,0,ham
dear me at urltoken case u r coming cochin pls call bfore u start i shall also reach urltoken tell me which day u r urltoken i am engaged ans its holiday,1,1,0,3,1,0,ham
dear regret i cudnt pick urltoken down frm ctla now at cochin urltoken mobile in car ente style ishtamayoo happy bakrid,1,0,0,2,0,0,ham
dear shall mail urltoken in the street shall update you urltoken are looking urltoken edukkukayee raksha urltoken a good one in real sense,1,0,0,4,0,0,ham
depends on individual lor e hair dresser say pretty but my parents say look gong u kaypoh i also dunno wat she collecting,0,0,0,0,0,0,ham
depends on where u going lor,0,0,0,0,0,0,ham
designation is software developer and may be she get chennai,0,0,0,0,0,0,ham
desires u going to doctor 4 liver and get a bit stylish get ur hair managed thats it,0,0,0,0,0,0,ham
